p,T,v_f,v_g,u_f,u_g,h_f,h_g,s_f,s_g
0.04,28.96,1.004,34.8,121.45,2415.2,121.46,2554.4,0.4226,8.4746
0.06,36.16,1.0064,23.739,151.53,2425.0,151.53,2567.4,0.521,8.3304
0.08,41.51,1.0084,18.103,173.87,2432.2,173.88,2577.0,0.5926,8.2287
0.1,45.81,1.0102,14.674,191.82,2437.9,191.83,2584.7,0.6493,8.1502
0.2,60.06,1.0172,7.649,251.38,2456.7,251.4,2609.7,0.832,7.9085
0.3,69.1,1.0223,5.229,289.2,2468.4,289.23,2625.3,0.9439,7.7686
0.4,75.87,1.0266,3.993,317.53,2477.0,317.58,2636.8,1.0259,7.67
0.5,81.33,1.03,3.24,340.44,2483.9,340.49,2645.9,1.091,7.5939
0.6,85.94,1.0331,2.732,359.79,2489.6,359.86,2653.5,1.1453,7.532
0.7,89.95,1.036,2.365,376.63,2494.5,376.7,2660.0,1.1919,7.4797
0.8,93.5,1.038,2.087,391.58,2498.8,391.66,2665.8,1.2329,7.4346
0.9,96.71,1.041,1.869,405.06,2502.6,405.15,2670.9,1.2695,7.3949
1.0,99.63,1.0432,1.694,417.36,2506.1,417.46,2675.5,1.3026,7.3594
1.5,111.4,1.0528,1.159,466.94,2519.7,467.11,2693.6,1.4336,7.2233
2.0,120.2,1.0605,0.8857,504.49,2529.5,504.7,2706.7,1.5301,7.1271
2.5,127.4,1.0672,0.7187,535.1,2537.2,535.37,2716.9,1.6072,7.0527
3.0,133.6,1.0732,0.6058,561.15,2543.6,561.47,2725.3,1.6718,6.9919
3.5,138.9,1.0786,0.5243,583.95,2546.9,584.33,2732.4,1.7275,6.9405
4.0,143.6,1.0836,0.4625,604.31,2553.6,604.74,2738.6,1.7766,6.8959
4.5,147.9,1.0882,0.414,622.25,2557.6,623.25,2743.9,1.8207,6.8565
5.0,151.9,1.0926,0.3749,639.68,2561.2,640.23,2748.7,1.8607,6.8212
6.0,158.9,1.1006,0.3157,669.9,2567.4,670.56,2756.8,1.9312,6.76
7.0,165.0,1.1078,0.2729,696.44,2572.6,696.92,2763.8,1.9922,6.6929
8.0,170.4,1.1148,0.2404,720.22,2578.6,721.11,2769.1,2.0462,6.6628
9.0,175.4,1.1212,0.215,741.83,2580.5,742.83,2773.9,2.0946,6.6226
10.0,179.9,1.1273,0.1954,761.86,2583.6,762.81,2778.1,2.1383,6.5863
15.0,198.3,1.1539,0.1318,843.16,2594.5,844.84,2792.2,2.315,6.4448
20.0,212.4,1.1767,0.09963,906.44,2600.3,908.79,2799.5,2.4474,6.3409
25.0,224.0,1.1944,0.07999,959.12,2604.1,962.11,2804.2,2.5547,6.2575
30.0,233.9,1.2165,0.06668,1004.8,2606.7,1008.4,2806.7,2.6457,6.1975
35.0,242.6,1.2347,0.05707,1045.4,2607.3,1049.8,2807.3,2.7253,6.1535
40.0,250.4,1.2522,0.04978,1082.3,2606.3,1087.3,2804.1,2.7964,6.0701
45.0,257.8,1.2692,0.04406,1116.4,2601.1,1116.4,2798.3,2.861,5.9916
50.0,264.0,1.2859,0.03944,1147.8,2597.1,1154.2,2794.3,2.9202,5.9734
60.0,275.6,1.3177,0.03244,1205.4,2589.7,1213.4,2784.3,3.0267,5.8892
70.0,285.9,1.3513,0.02737,1267.5,2580.5,1267.0,2772.1,3.1265,5.8183
80.0,295.1,1.3842,0.02352,1305.6,2577.8,1316.6,2758.8,3.2068,5.6772
90.0,303.4,1.4178,0.02048,1350.5,2557.8,1363.3,2742.1,3.2858,5.6141
100.0,311.1,1.4524,0.01803,1393.0,2544.4,1407.6,2724.7,3.3596,5.5527
110.0,318.2,1.4586,0.01599,1433.7,2529.8,1450.1,2705.6,3.4295,5.3967
